Banco,Contrato,Origen,Dia semana,Tipo archivo recaudo,Cuenta
"axis bank, ltd.",impuesto predial,p,5,pagos web,1
"axis bank, ltd.",impuesto predial,p,6,pagos web,1
bac international bank,impuesto predial,p,3,pagos web,1
ban100,industria y comercio,p,4,pagos web,1
banagrario,impuesto predial,n,5,pagos web,1
banagrario,impuesto predial,p,0,pagos web,1
banagrario,impuesto predial,p,1,pagos web,1
banagrario,impuesto predial,p,2,pagos web,1
"banca afirme, s.a.",impuesto predial,p,3,pagos web,1
bancaja (caja de ahorros de va,impuesto predial,p,0,pagos web,1
bancamia s.a.,facilidades,p,0,pagos web,1
bancamia s.a.,facilidades,p,2,pagos web,1
bancamia s.a.,impuesto predial,a,0,pagos web,1
avvillas,rentas contractuales,presencial,2,pagos presencial,1
bancamia s.a.,impuesto predial,a,6,pagos web,1
bancamia s.a.,impuesto predial,n,2,pagos web,1
bancamia s.a.,impuesto predial,n,4,pagos web,1
bancamia s.a.,impuesto predial,n,6,pagos web,1
bancamia s.a.,industria y comercio,p,4,pagos web,1
bancar tecnologia co sa compan,facilidades,p,2,pagos web,1
bancar tecnologia co sa compan,facilidades,p,4,pagos web,1
bancar tecnologia co sa compan,impuesto predial,p,0,pagos web,1
banco agrario,circulacion y transito,a,3,pagos web,1
banco agrario,circulacion y transito,n,0,pagos web,1
banco agrario,circulacion y transito,p,2,pagos web,1
banco agrario,circulacion y transito,p,6,pagos web,1
avvillas,rentas contractuales,presencial,4,pagos presencial,1
avvillas,publicidad exterior visual,presencial,1,pagos presencial,1
"aruba bank, n.v.",impuesto predial,p,3,pagos web,1
aval soluciones digitales s.a.,impuesto predial,p,0,pagos web,1
asb bank,impuesto predial,p,0,pagos web,1
asociacion gremial de instituc,facilidades,p,2,pagos web,1
asociacion gremial de instituc,industria y comercio,p,0,pagos web,1
asociacion gremial de instituc,industria y comercio,p,6,pagos web,1
australia and new zealand bank,impuesto predial,p,3,pagos web,1
av villas,circulacion y transito,a,2,pagos web,1
av villas,facilidades,p,6,pagos web,1
av villas,impuesto predial,a,0,pagos web,1
av villas,impuesto predial,a,6,pagos web,1
av villas,industria y comercio,p,5,pagos web,1
av villas,otros ingresos,p,1,pagos web,1
aval soluciones digitales s.a.,impuesto predial,n,3,pagos web,1
aval soluciones digitales s.a.,impuesto predial,p,2,pagos web,1
avvillas,publicidad exterior visual,presencial,0,pagos presencial,1
aval soluciones digitales s.a.,impuesto predial,p,4,pagos web,1
aval soluciones digitales s.a.,impuesto predial,p,6,pagos web,1
aval soluciones digitales s.a.,industria y comercio,p,2,pagos web,1
avvillas,alumbrado publico,presencial,5,pagos presencial,1
avvillas,aprov.esp.pub,presencial,2,pagos presencial,1
avvillas,aprov.esp.pub,presencial,4,pagos presencial,1
avvillas,delineación urbana,presencial,5,pagos presencial,1
avvillas,otros ingresos,presencial,0,pagos presencial,1
avvillas,otros ingresos,presencial,1,pagos presencial,1
avvillas,otros ingresos,presencial,2,pagos presencial,1
avvillas,pot.,presencial,2,pagos presencial,1
avvillas,pot.,presencial,5,pagos presencial,1
banco bogota,circulacion y transito,p,1,pagos web,1
banco bogota,delineación urbana,a,3,pagos web,1
banco bogota,facilidades,a,0,pagos web,1
banco davivienda,movilidad,n,1,pagos web,1
banco davivienda,delineación urbana,n,4,pagos web,1
banco davivienda,delineación urbana,p,1,pagos web,1
banco davivienda,espectaculos publicos,n,2,pagos web,1
banco davivienda,estampilla procultura,n,3,pagos web,1
banco davivienda,impuesto predial,w,6,pagos web,1
banco davivienda,impuesto telefonico,n,1,pagos web,1
banco davivienda,impuesto telefonico,n,4,pagos web,1
banco davivienda,industria y comercio,w,0,pagos web,1
banco davivienda,industria y comercio,w,6,pagos web,1
banco davivienda,ingresos no tributarios,n,1,pagos web,1
banco davivienda,ingresos no tributarios,n,3,pagos web,1
banco davivienda,ingresos no tributarios,p,5,pagos web,1
banco davivienda,movilidad,n,4,pagos web,1
banco davivienda,deguello de ganado,p,4,pagos web,1
banco davivienda,otros ingresos,n,3,pagos web,1
banco davivienda,otros ingresos,n,4,pagos web,1
banco davivienda,otros ingresos,p,6,pagos web,1
banco davivienda,publicidad exterior visual,n,1,pagos web,1
banco davivienda,recursos fonset,n,2,pagos web,1
banco davivienda,rendimientos financieros y recursos no ejecutados,n,0,pagos web,1
banco davivienda,rendimientos financieros y recursos no ejecutados,n,2,pagos web,1
banco davivienda,rentas contractuales,a,4,pagos web,1
banco davivienda,rentas contractuales,n,6,pagos web,1
banco davivienda,servicios,n,5,pagos web,1
banco davivienda,servicios,p,1,pagos web,1
banco davivienda,transferencias,n,0,pagos web,1
banco davivienda,delineación urbana,n,1,pagos web,1
banco davivienda,deguello de ganado,p,1,pagos web,1
banco davivienda costa rica s.,impuesto predial,p,2,pagos web,1
banco cooperativo coopcentral,impuesto telefonico,n,2,pagos web,1
banco cooperativo coopcentral,circulacion y transito,n,0,pagos web,1
banco cooperativo coopcentral,circulacion y transito,p,6,pagos web,1
banco cooperativo coopcentral,delineación urbana,n,6,pagos web,1
banco cooperativo coopcentral,delineación urbana,p,0,pagos web,1
banco cooperativo coopcentral,delineación urbana,p,4,pagos web,1
banco cooperativo coopcentral,facilidades,a,1,pagos web,1
banco cooperativo coopcentral,facilidades,a,4,pagos web,1
banco cooperativo coopcentral,facilidades,a,5,pagos web,1
banco cooperativo coopcentral,facilidades,n,5,pagos web,1
banco cooperativo coopcentral,impuesto predial,w,2,pagos web,1
banco cooperativo coopcentral,impuesto predial,w,5,pagos web,1
banco cooperativo coopcentral,impuesto telefonico,n,0,pagos web,1
banco cooperativo coopcentral,impuesto telefonico,p,0,pagos web,1
banco davivienda,circulacion y transito,n,5,pagos web,1
banco cooperativo coopcentral,impuesto telefonico,p,1,pagos web,1
banco cooperativo coopcentral,impuesto telefonico,p,3,pagos web,1
banco cooperativo coopcentral,industria y comercio,a,3,pagos web,1
banco cooperativo coopcentral,industria y comercio,a,4,pagos web,1
banco cooperativo coopcentral,industria y comercio,n,3,pagos web,1
banco cooperativo coopcentral,publicidad exterior visual,p,0,pagos web,1
banco cooperativo coopcentral,retencion ica,p,1,pagos web,1
banco cooperativo coopcentral,retencion ica,p,4,pagos web,1
banco cooperativo coopcentral,servicios,p,2,pagos web,1
"banco cooperativo espanol, s.a",impuesto predial,p,3,pagos web,1
banco credifinanciera,impuesto predial,p,2,pagos web,1
banco davivienda,circulacion y transito,a,5,pagos web,1
banco davivienda,transferencias,n,4,pagos web,1
banco davivienda s.a.,alumbrado publico,p,1,pagos web,1
banco bogota,facilidades,a,3,pagos web,1
"banco davivienda, s.a.",servicios,n,0,pagos web,1
"banco davivienda, s.a.",industria y comercio,a,0,pagos web,1
"banco davivienda, s.a.",industria y comercio,a,3,pagos web,1
"banco davivienda, s.a.",industria y comercio,a,4,pagos web,1
"banco davivienda, s.a.",industria y comercio,a,6,pagos web,1
"banco davivienda, s.a.",industria y comercio,w,0,pagos web,1
"banco davivienda, s.a.",ingresos no tributarios,p,4,pagos web,1
"banco davivienda, s.a.",movilidad,n,0,pagos web,1
"banco davivienda, s.a.",movilidad,p,4,pagos web,1
"banco davivienda, s.a.",publicidad exterior visual,n,1,pagos web,1
"banco davivienda, s.a.",retencion ica,n,1,pagos web,1
"banco davivienda, s.a.",retencion ica,p,1,pagos web,1
"banco davivienda, s.a.",retencion ica,p,3,pagos web,1
"banco davivienda, s.a.",servicios,n,1,pagos web,1
"banco davivienda, s.a.",impuesto telefonico,p,4,pagos web,1
"banco davivienda, s.a.",servicios,n,2,pagos web,1
"banco davivienda, s.a.",servicios,n,3,pagos web,1
banco de bogota,aprov.esp.pub,n,5,pagos web,1
banco de bogota,circulacion y transito,a,0,pagos web,1
banco de bogota,circulacion y transito,a,2,pagos web,1
banco de bogota,circulacion y transito,a,6,pagos web,1
banco de bogota,circulacion y transito,n,6,pagos web,1
banco de bogota,circulacion y transito,p,5,pagos web,1
banco de bogota,circulacion y transito,p,6,pagos web,1
banco de bogota,delineación urbana,p,1,pagos web,1
banco de bogota,delineación urbana,p,4,pagos web,1
banco de bogota,estampilla procultura,n,4,pagos web,1
"banco davivienda, s.a.",impuesto telefonico,p,6,pagos web,1
"banco davivienda, s.a.",impuesto telefonico,p,3,pagos web,1
banco davivienda s.a.,delineación urbana,p,3,pagos web,1
"banco davivienda, s.a.",alumbrado publico,p,4,pagos web,1
banco davivienda s.a.,facilidades,n,1,pagos web,1
banco davivienda s.a.,facilidades,p,6,pagos web,1
banco davivienda s.a.,impuesto predial,a,2,pagos web,1
banco davivienda s.a.,impuesto predial,n,1,pagos web,1
banco davivienda s.a.,impuesto predial,n,2,pagos web,1
banco davivienda s.a.,impuesto predial,n,6,pagos web,1
banco davivienda s.a.,industria y comercio,a,0,pagos web,1
banco davivienda s.a.,industria y comercio,a,1,pagos web,1
banco davivienda s.a.,industria y comercio,a,3,pagos web,1
banco davivienda s.a.,industria y comercio,a,4,pagos web,1
banco davivienda s.a.,industria y comercio,n,1,pagos web,1
banco davivienda s.a.,rentas contractuales,p,4,pagos web,1
"banco davivienda, s.a.",aprov.esp.pub,p,2,pagos web,1
"banco davivienda, s.a.",impuesto telefonico,n,5,pagos web,1
"banco davivienda, s.a.",aprov.esp.pub,p,3,pagos web,1
"banco davivienda, s.a.",circulacion y transito,a,4,pagos web,1
"banco davivienda, s.a.",circulacion y transito,n,3,pagos web,1
"banco davivienda, s.a.",circulacion y transito,p,0,pagos web,1
"banco davivienda, s.a.",circulacion y transito,p,2,pagos web,1
"banco davivienda, s.a.",circulacion y transito,p,3,pagos web,1
"banco davivienda, s.a.",circulacion y transito,p,6,pagos web,1
"banco davivienda, s.a.",facilidades,a,5,pagos web,1
"banco davivienda, s.a.",facilidades,n,5,pagos web,1
"banco davivienda, s.a.",impuesto predial,w,4,pagos web,1
"banco davivienda, s.a.",impuesto predial,w,5,pagos web,1
"banco davivienda, s.a.",impuesto telefonico,n,2,pagos web,1
banco cooperativo coopcentral,aprov.esp.pub,n,3,pagos web,1
banco cooperativo coopcentral,alumbrado publico,p,4,pagos web,1
banco coomeva s.a.,industria y comercio,p,4,pagos web,1
banco caja social,otros ingresos,n,0,pagos web,1
banco caja social,impuesto telefonico,n,4,pagos web,1
