Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
"rappipay, s.a.s.",impuesto predial,a,pagos web,238
bbva,impuesto predial,n,pagos web,237
banco bbva colombia s.a.,transferencias,p,pagos web,236
nu pagamentos sa,facilidades,p,pagos web,236
banco de occidente,publicidad exterior visual,p,pagos web,233
bancolombia,movilidad,n,pagos web,230
bogota_1,retencion ica,presencial,pagos presencial,228
cotrafa,otros ingresos,presencial,pagos presencial,226
bogota_1,delineación urbana,presencial,pagos presencial,225
banco caja social,publicidad exterior visual,p,pagos web,225
"rappipay, s.a.s.",industria y comercio,p,pagos web,224
bancolombia,servicios,p,pagos web,222
"banco davivienda, s.a.",impuesto predial,n,pagos web,222
gnb sudameris,impuesto predial,p,pagos web,215
ripley visa,impuesto predial,p,pagos web,215
banco cooperativo coopcentral,industria y comercio,p,pagos web,214
banco caja social,industria y comercio,n,pagos web,214
bancocajasocial,préstamos hipotecarios,presencial,pagos presencial,211
banco coomeva s.a.,impuesto predial,p,pagos web,208
citibank n.a.,impuesto predial,p,pagos web,207
banco caja social s.a.,impuesto predial,p,pagos web,206
bancolombia,estampilla procultura,p,pagos web,206
banco av villas,retencion ica,p,pagos web,202
confiar,rentas contractuales,presencial,pagos presencial,198
bbva,movilidad,presencial,pagos presencial,198
bbva,facilidades,p,pagos web,197
banco cooperativo coopcentral,impuesto predial,a,pagos web,196
bbva colombia s.a,impuesto predial,n,pagos web,195
