Banco,Contrato,Origen,Tipo archivo recaudo,Valor pago
bancolombia,industria y comercio,p,pagos web,1612684517750
bancolombia,impuesto predial,p,pagos web,982599816739
banco davivienda,industria y comercio,p,pagos web,321246238859
bancolombia,recursos fonset,p,pagos web,251532021509
bancolombia,industria y comercio,n,pagos web,190416134624
bancolombia,rentas contractuales,p,pagos web,174567354790
banco bbva colombia s.a.,industria y comercio,p,pagos web,126487196869
bancolombia,transferencias,p,pagos web,120464973742
bancolombia,industria y comercio,presencial,pagos presencial,113831574663
bancolombia - botón bancolombi,impuesto predial,p,pagos web,106812709398
bancolombia s.a.,impuesto predial,p,pagos web,102139809462
banco de occidente,industria y comercio,p,pagos web,95683153529
banco davivienda,impuesto predial,p,pagos web,90471990718
citibank,industria y comercio,p,pagos web,87047268108
banco de bogota,industria y comercio,p,pagos web,69122045729
bancolombia,rendimientos financieros y recursos no ejecutados,p,pagos web,69031815846
bancolombia,retencion ica,p,pagos web,66926486007
banco davivienda,industria y comercio,n,pagos web,65232425551
bancolombia,impuesto predial,presencial,pagos presencial,64172427162
bancolombia,impuesto predial,n,pagos web,52598553312
banco davivienda,retencion ica,p,pagos web,51706392788
bancolombia,facilidades,p,pagos web,51658656268
banco de bogota,impuesto predial,p,pagos web,51279099597
occidente,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,50391603894
banco bbva colombia s.a.,impuesto predial,p,pagos web,44988195559
banco de occidente,impuesto predial,p,pagos web,41757009836
banco itau,industria y comercio,p,pagos web,41299864307
gnb,otros ingresos,presencial,pagos presencial,41246801592
davivienda,impuesto telefonico,presencial,pagos presencial,38430731624
davivienda,impuesto predial,presencial,pagos presencial,35355382578
banco de occidente,rendimientos financieros y recursos no ejecutados,p,pagos web,34722435708
scotiabank colpatria,industria y comercio,p,pagos web,34496150608
banco davivienda,recursos fonset,p,pagos web,33407134512
scotiabank colpatria,rendimientos financieros y recursos no ejecutados,p,pagos web,33297807796
bancolombia,delineación urbana,p,pagos web,33082348007
bancolombia,delineación urbana,presencial,pagos presencial,32764398839
davivienda,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,29844076653
banco bbva colombia s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,29292294673
bbva,impuesto telefonico,presencial,pagos presencial,28947039105
banco bbva colombia s.a.,recursos fonset,p,pagos web,28295423938
banco itau,impuesto predial,p,pagos web,28155791025
davivienda,movilidad,presencial,pagos presencial,27478666287
banco popular,rendimientos financieros y recursos no ejecutados,p,pagos web,26038620727
bancolombia,rendimientos financieros y recursos no ejecutados,n,pagos web,24825946518
scotiabank colpatria,impuesto predial,p,pagos web,22939965609
banco de bogota,recursos fonset,p,pagos web,21671492966
davivienda,industria y comercio,presencial,pagos presencial,21378658991
davivienda,retencion ica,presencial,pagos presencial,19522571457
banco davivienda,transferencias,p,pagos web,19331547088
bancolombia,préstamos hipotecarios,presencial,pagos presencial,18821198701
banco caja social,impuesto predial,p,pagos web,18380168539
bancolombia,impuesto predial,a,pagos web,17551646652
bancolombia,otros ingresos,p,pagos web,17152490712
occidente,industria y comercio,presencial,pagos presencial,16845218558
banco itau,rendimientos financieros y recursos no ejecutados,p,pagos web,15764671166
bancolombia s.a.,industria y comercio,p,pagos web,15393239861
citibank,impuesto predial,p,pagos web,15340866779
banco caja social,industria y comercio,p,pagos web,15331981345
davivienda,delineación urbana,presencial,pagos presencial,14639851051
bogota_1,industria y comercio,presencial,pagos presencial,14476826174
bbva,recursos fonset,presencial,pagos presencial,13995014336
bancolombia,deguello de ganado,p,pagos web,13932684100
banco itau,alumbrado publico,p,pagos web,13474056747
banco de occidente,industria y comercio,n,pagos web,13367429069
banco davivienda,rendimientos financieros y recursos no ejecutados,p,pagos web,12942092461
bancolombia,otros ingresos,presencial,pagos presencial,12601856733
bancolombia,ingresos no tributarios,presencial,pagos presencial,12404676550
banco bbva colombia s.a.,industria y comercio,n,pagos web,12112264101
banco de bogota,transferencias,p,pagos web,11578032547
banco av villas,industria y comercio,p,pagos web,11340416367
banco davivienda,retencion ica,n,pagos web,11024075853
occidente,otros ingresos,presencial,pagos presencial,10769891619
bancolombia,pot.,presencial,pagos presencial,10429998058
bancolombia,delineación urbana,n,pagos web,10078464737
bbva,impuesto predial,p,pagos web,9973598907
banco gnb sudameris,rendimientos financieros y recursos no ejecutados,p,pagos web,9873061758
scotiabank colpatria,recursos fonset,p,pagos web,9799294000
banco gnb sudameris,industria y comercio,p,pagos web,9694869789
bancolombia,rentas contractuales,presencial,pagos presencial,9186673088
bancolombia - botón bancolombi,industria y comercio,p,pagos web,9089776250
davivienda,ingresos no tributarios,presencial,pagos presencial,9030849242
banco popular,impuesto predial,p,pagos web,8887402103
bancolombia,ingresos no tributarios,p,pagos web,8754321899
occidente,delineación urbana,presencial,pagos presencial,8350242675
banco de bogota,industria y comercio,n,pagos web,8321515294
bancolombia,facilidades,n,pagos web,8177717841
bogota_1,rentas contractuales,presencial,pagos presencial,7981669592
bancolombia,espectaculos publicos,p,pagos web,7951375863
banco davivienda,facilidades,p,pagos web,7438894660
occidente,impuesto telefonico,presencial,pagos presencial,7238685991
bogota_1,recursos fonset,presencial,pagos presencial,7131768000
bancolombia,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,6902703206
banco de occidente,espectaculos publicos,p,pagos web,6813470501
banco de bogota,rendimientos financieros y recursos no ejecutados,p,pagos web,6790848316
banco falabella,impuesto predial,p,pagos web,6753750771
banco av villas,impuesto predial,p,pagos web,6719351434
banco de occidente,delineación urbana,p,pagos web,6622091250
bancolombia s.a.,impuesto predial,n,pagos web,6596790448
banco de occidente,rentas contractuales,p,pagos web,6463598591
occidente,transferencias,presencial,pagos presencial,6416813196
davivienda,préstamos hipotecarios,presencial,pagos presencial,6323925775
citibank,industria y comercio,n,pagos web,6320422015
banco colpatria,impuesto predial,p,pagos web,6312886737
bbva,industria y comercio,presencial,pagos presencial,6235498684
scotiabank colpatria s.a.,impuesto predial,p,pagos web,6181215103
bbva,retencion ica,presencial,pagos presencial,6169106726
bancolombia,alumbrado publico,p,pagos web,5887055788
banco bbva colombia s.a.,transferencias,p,pagos web,5865256793
occidente,retencion ica,presencial,pagos presencial,5591728520
davivienda,pot.,presencial,pagos presencial,5530555071
bancolombia - botón bancolombi,impuesto predial,a,pagos web,5526385531
compania de financiamiento tuy,impuesto predial,p,pagos web,5441143279
bancolombia,movilidad,p,pagos web,5262270180
banco popular,industria y comercio,p,pagos web,5247395603
banco de occidente,recursos fonset,p,pagos web,4937804110
banco gnb sudameris,impuesto predial,p,pagos web,4847895028
bogota_1,retencion ica,presencial,pagos presencial,4785638810
banco de occidente,retencion ica,p,pagos web,4747451322
bancolombia - botón bancolombi,impuesto predial,n,pagos web,4663015841
banco agrario,industria y comercio,p,pagos web,4620421143
banco itau,industria y comercio,n,pagos web,4584897771
itaú,impuesto predial,p,pagos web,4524300494
bancoomeva s.a.,industria y comercio,p,pagos web,4464747505
banco davivienda,impuesto predial,n,pagos web,4386779029
cotrafa,industria y comercio,presencial,pagos presencial,4364857825
bancolombia,retencion ica,n,pagos web,4364548191
colpatria,industria y comercio,presencial,pagos presencial,4297987761
banco bbva colombia s.a.,retencion ica,p,pagos web,4213332565
popular,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,4133822781
bancolombia - botón bancolombi,facilidades,p,pagos web,3830923958
banco de bogota,retencion ica,p,pagos web,3689339378
banco bbva colombia s.a.,rendimientos financieros y recursos no ejecutados,n,pagos web,3683853128
scotiabank colpatria,retencion ica,p,pagos web,3587733842
bancolombia s.a.,industria y comercio,n,pagos web,3552362323
bancolombia,multas codigo de policia,presencial,pagos presencial,3549398831
bancolombia,circulacion y transito,presencial,pagos presencial,3440546055
bancolombia,publicidad exterior visual,p,pagos web,3426752333
banco davivienda,rentas contractuales,p,pagos web,3424142003
banco itau,rentas contractuales,p,pagos web,3320187575
banco bbva colombia s.a.,impuesto predial,n,pagos web,3260799722
bancolombia - botón bancolombi,industria y comercio,n,pagos web,3175666908
bancolombia s.a.,impuesto predial,a,pagos web,3057440253
nequi,impuesto predial,p,pagos web,2929872411
bogota_1,impuesto predial,presencial,pagos presencial,2882272382
bancolombia,rentas contractuales,n,pagos web,2780825823
banco gnb sudameris,industria y comercio,n,pagos web,2771943373
bancolombia,estampilla procultura,p,pagos web,2685938244
banco popular,rendimientos financieros y recursos no ejecutados,n,pagos web,2652573763
"banco davivienda, s.a.",impuesto predial,p,pagos web,2602596018
occidente,préstamos hipotecarios,presencial,pagos presencial,2585852935
banco de bogota,espectaculos publicos,n,pagos web,2562354227
bancolombia,impuesto telefonico,presencial,pagos presencial,2478654520
banco bbva colombia s.a.,facilidades,p,pagos web,2363455403
occidente,ingresos no tributarios,presencial,pagos presencial,2307223450
banco bbva colombia s.a.,recursos fonset,n,pagos web,2270294361
bancolombia s.a.,facilidades,p,pagos web,2232576780
occidente,impuesto predial,presencial,pagos presencial,2223823214
banco itau,otros ingresos,p,pagos web,2201356015
occidente,alumbrado publico,presencial,pagos presencial,2193790840
bancolombia,recursos fonset,presencial,pagos presencial,2184534949
bancolombia,retencion ica,presencial,pagos presencial,2179480868
"rappipay, s.a.s.",impuesto predial,p,pagos web,2168652920
banco cooperativo coopcentral,impuesto predial,p,pagos web,2160798839
banco de occidente,transferencias,p,pagos web,2154835109
banco de bogota,impuesto predial,n,pagos web,2139050265
bancolombia,alumbrado publico,presencial,pagos presencial,2131349348
bbva,delineación urbana,presencial,pagos presencial,2045003571
banco bbva colombia s.a.,estampilla procultura,p,pagos web,2030222658
banco de bogota s.a.,impuesto predial,p,pagos web,1989797507
bogota_1,otros ingresos,presencial,pagos presencial,1953912747
pse - cuentas débito ahorro y,transferencias,n,pagos web,1950874461
scotiabank colpatria,industria y comercio,n,pagos web,1933937091
bancolombia,industria y comercio,a,pagos web,1886524759
banco av villas,industria y comercio,n,pagos web,1885283449
nu pagamentos sa,impuesto predial,p,pagos web,1866607058
"itau corpbanca colombia, s.a.",impuesto predial,p,pagos web,1848815528
banco de occidente,facilidades,p,pagos web,1835106954
"banco de occidente, s.a.",impuesto predial,p,pagos web,1824367731
banco colpatria pricesmart,impuesto predial,p,pagos web,1801514789
confiar,industria y comercio,presencial,pagos presencial,1770520446
banco de occidente,espectaculos publicos,n,pagos web,1743205202
bogota_1,transferencias,presencial,pagos presencial,1710507814
bancoomeva s.a.,impuesto predial,p,pagos web,1690668037
bancolombia,impuesto telefonico,p,pagos web,1676369227
banco davivienda,impuesto predial,a,pagos web,1672346117
banco santander,impuesto predial,p,pagos web,1659311030
banco popular,recursos fonset,p,pagos web,1648962516
bancolombia,aprov.esp.pub,p,pagos web,1646587370
bancolombia,transferencias,presencial,pagos presencial,1606182015
scotiabank colpatria,impuesto predial,n,pagos web,1595470554
banco av villas,rendimientos financieros y recursos no ejecutados,p,pagos web,1586721812
bancolombia,aprov.esp.pub,presencial,pagos presencial,1555075089
banco av villas,recursos fonset,p,pagos web,1544037348
davivienda,alumbrado publico,presencial,pagos presencial,1534960838
banco itau,retencion ica,p,pagos web,1526610866
banco popular,retencion ica,p,pagos web,1495659594
bbva colombia s.a,impuesto predial,p,pagos web,1482146937
scotiabank colpatria,facilidades,p,pagos web,1479136398
banco itau,rendimientos financieros y recursos no ejecutados,n,pagos web,1477096558
banco caja social,industria y comercio,n,pagos web,1476082872
banco gnb sudameris,retencion ica,p,pagos web,1475832456
banco bilbao vizcaya argentari,impuesto predial,p,pagos web,1455213994
bancolombia - botón bancolombi,facilidades,n,pagos web,1371309528
bancocajasocial,industria y comercio,presencial,pagos presencial,1351165698
bancolombia,publicidad exterior visual,presencial,pagos presencial,1342679085
bbva,préstamos hipotecarios,presencial,pagos presencial,1308667404
avvillas,delineación urbana,presencial,pagos presencial,1291345840
citibank,retencion ica,p,pagos web,1267364360
banco itau,impuesto predial,n,pagos web,1238072143
banco de occidente,impuesto predial,n,pagos web,1216887521
bancolombia,espectaculos publicos,n,pagos web,1162439439
falabella,impuesto predial,p,pagos web,1142780040
bancolombia,recursos fonset,n,pagos web,1141394000
bogota_1,ingresos no tributarios,presencial,pagos presencial,1126083768
banco de bogota,transferencias,n,pagos web,1117064176
banco de bogota,facilidades,p,pagos web,1110586028
banco av villas s.a.,impuesto predial,p,pagos web,1065173829
confiar cooperativa financiera,impuesto predial,p,pagos web,1060607765
popular,industria y comercio,presencial,pagos presencial,1047849379
banco de occidente,rentas contractuales,n,pagos web,1046440332
confiar cooperativa financiera,industria y comercio,p,pagos web,1044391680
banco davivienda s.a.,impuesto predial,p,pagos web,1035653415
compania de financiamiento tuy,facilidades,p,pagos web,1011435954
confiar,impuesto predial,presencial,pagos presencial,995612662
citibank,delineación urbana,p,pagos web,960143625
gnb,industria y comercio,presencial,pagos presencial,947607400
itau corpbanca colombia s.a.,impuesto predial,p,pagos web,937809602
bbva,impuesto predial,presencial,pagos presencial,934265898
banco de bogotá s.a.,impuesto predial,p,pagos web,923594906
bbva,transferencias,presencial,pagos presencial,915208035
bancolombia,movilidad,presencial,pagos presencial,903231852
bogota_1,delineación urbana,presencial,pagos presencial,888778915
banco agrario,industria y comercio,n,pagos web,888096195
scotiabank colpatria,deguello de ganado,p,pagos web,885622400
citibank,facilidades,p,pagos web,879258444
banco santander colombia,industria y comercio,p,pagos web,876522723
davivienda,circulacion y transito,presencial,pagos presencial,871595858
"chase bank usa, n.a.",impuesto predial,p,pagos web,868404645
bancolombia,aprov.esp.pub,n,pagos web,858230785
banco pichincha s.a.,industria y comercio,p,pagos web,844446041
scotiabank colpatria,rendimientos financieros y recursos no ejecutados,n,pagos web,843293857
banco caja social,retencion ica,p,pagos web,842726231
scotiabank colpatria,estampilla procultura,p,pagos web,837308000
bogota_1,préstamos hipotecarios,presencial,pagos presencial,829892164
bancocajasocial,impuesto predial,presencial,pagos presencial,795992502
bbva,industria y comercio,p,pagos web,793104222
banco davivienda,alumbrado publico,p,pagos web,790335267
bancolombia,espectaculos publicos,presencial,pagos presencial,789020948
banco gnb sudameris,impuesto predial,n,pagos web,785914579
davivienda,rentas contractuales,presencial,pagos presencial,784060857
banco av villas,retencion ica,p,pagos web,781203191
banco caja social,impuesto predial,n,pagos web,777693481
banco colpatria,industria y comercio,p,pagos web,777091155
popular,préstamos hipotecarios,presencial,pagos presencial,771890596
banco caja social,facilidades,p,pagos web,770871247
banco popular,otros ingresos,p,pagos web,769968109
occidente,circulacion y transito,presencial,pagos presencial,762148859
colpatria,impuesto telefonico,presencial,pagos presencial,758695103
bancolombia,impuesto telefonico,n,pagos web,757481526
banco agrario,impuesto predial,p,pagos web,750987718
compania de financiamiento tuy,industria y comercio,p,pagos web,747227549
banco falabella,industria y comercio,p,pagos web,730843275
davivienda,espectaculos publicos,presencial,pagos presencial,720718818
colpatria,delineación urbana,presencial,pagos presencial,720178319
occidente,rentas contractuales,presencial,pagos presencial,718448422
davivienda,recursos fonset,presencial,pagos presencial,717005378
scotiabank colpatria s.a.,industria y comercio,p,pagos web,716709028
banco colpatria,facilidades,p,pagos web,712265068
bancolombia s.a.,facilidades,n,pagos web,704929917
banco de occidente s.a.,impuesto predial,p,pagos web,699100223
pse - cuentas débito ahorro y,recursos fonset,p,pagos web,692795000
popular,impuesto telefonico,presencial,pagos presencial,690282893
banco falabella,facilidades,p,pagos web,686712951
bank of america,impuesto predial,p,pagos web,679195305
bancolombia,facilidades,a,pagos web,678269030
occidente,recursos fonset,presencial,pagos presencial,667044000
